Company,Sector,Continent
CREDIT SUISSE GROUP AG,Finance,Europe
ROYAL BANK OF CANADA,Finance,North America
UNICREDIT SPA,Finance,Europe
"CHINA CONSTRUCTION BANK CO., LTD",Finance,Asia
TORONTO DOMINION BANK,Finance,North America
BANCO BILBAO VIZCAYA ARGENTARIA SA,Finance,Europe
DEUTSCHE BANK AG,Finance,Europe
STATE BANK OF INDIA,Finance,Asia
BANK OF NOVA SCOTIA (THE) - SCOTIABANK,Finance,North America
INTESA SANPAOLO,Finance,Europe
BANK OF MONTREAL,Finance,North America
COMMONWEALTH BANK OF AUSTRALIA,Finance,Other
WESTPAC BANKING CORPORATION,Finance,Other
CANADIAN IMPERIAL BANK OF COMMERCE,Finance,North America
COMMERZBANK AG,Finance,Europe
ICICI BANK LIMITED,Finance,Asia
UNITED OVERSEAS BANK LIMITED UOB,Finance,Asia
RAIFFEISEN BANK INTERNATIONAL AG,Finance,Europe
NATIONAL BANK OF CANADA,Finance,North America
KRUNG THAI BANK PUBLIC COMPANY LIMITED,Finance,Asia
BANCA MONTE DEI PASCHI DI SIENA SPA,Finance,Europe
SOCIETE GENERALE COTE D'IVOIRE,Finance,Other
ERSTE GROUP BANK AG,Finance,Europe
SHINSEI BANK LIMITED,Finance,Asia
NATIONAL AUSTRALIA BANK LIMITED,Finance,Other
ASSICURAZIONI GENERALI SPA,Finance,Europe
METLIFE INC.,Finance,North America
AVIVA PLC,Finance,Europe
MANULIFE FINANCIAL CORP,Finance,North America
SUN LIFE FINANCIAL INC.,Finance,North America
UNIPOL GRUPPO SPA,Finance,Europe
LOEWS CORP.,Finance,North America
MOLINA HEALTHCARE INC.,Finance,North America
UNITEDHEALTH GROUP INC.,Finance,North America
BNP PARIBAS CARDIF SA,Finance,Europe
ITOCHU CORPORATION,Finance,Asia
MITSUBISHI CORPORATION,Finance,Asia
JPMORGAN CHASE & CO,Finance,North America
CITIGROUP INC,Finance,North America
CAPITAL ONE FINANCIAL CORPORATION,Finance,North America
BARCLAYS PLC,Finance,Europe
"SUMITOMO MITSUI TRUST HOLDINGS, INC",Finance,Asia
UNIQA INSURANCE GROUP AG,Finance,Europe
"MITSUBISHI UFJ MORGAN STANLEY SECURITIES CO., LTD.",Finance,Asia
MOODY'S CORPORATION,Finance,North America
KBC GROEP NV KBC GROUPE SA,Finance,Europe
EQUIFAX INC,Finance,North America
PETROCHINA COMPANY LIMITED,Oil and gas industry,Asia
TOTAL SA,Oil and gas industry,Europe
ENI S.P.A.,Oil and gas industry,Europe
EQUINOR ASA,Oil and gas industry,Europe
CONOCOPHILLIPS,Oil and gas industry,North America
OMV AKTIENGESELLSCHAFT,Oil and gas industry,Europe
EOG RESOURCES INC,Oil and gas industry,North America
